Data,ID Produto,Descrição,Número de Lotes a Comprar,Tamanho do Lote,Total de Produtos a Comprar,Estoque Anterior,Produtos que Chegaram,Previsão de Demanda,Estoque após Atender,Custo de Compra
09/07/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,10053.0,0.0,1890,8163.0,0.0
09/07/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,102883.0,0.0,68067,34816.0,0.0
09/07/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,-0.0,5400,-0.0,58545.0,0.0,0,58545.0,0.0
16/07/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,8163.0,0.0,0,8163.0,0.0
16/07/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,6.0,6000,36000.0,34816.0,0.0,0,34816.0,72040.0
16/07/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,3.0,5400,16200.0,58545.0,-0.0,0,58545.0,39302.0
23/07/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,3.0,6000,18000.0,8163.0,0.0,0,8163.0,34500.0
23/07/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,34816.0,0.0,0,34816.0,0.0
23/07/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,58545.0,0.0,0,58545.0,0.0
30/07/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,8163.0,0.0,0,8163.0,0.0
30/07/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,34816.0,0.0,0,34816.0,0.0
30/07/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,-0.0,5400,-0.0,58545.0,-0.0,0,58545.0,0.0
06/08/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,8163.0,0.0,0,8163.0,0.0
06/08/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,-0.0,6000,-0.0,34816.0,0.0,0,34816.0,0.0
06/08/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,-0.0,5400,-0.0,58545.0,0.0,0,58545.0,0.0
13/08/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,8163.0,12000.0,16863,3300.0,0.0
13/08/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,7.0,6000,42000.0,34816.0,60000.0,90605,4211.0,83380.0
13/08/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,4.0,5400,21600.0,58545.0,-0.0,0,58545.0,51236.0
20/08/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,3300.0,0.0,0,3300.0,0.0
20/08/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,4211.0,0.0,0,4211.0,0.0
20/08/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,58545.0,0.0,0,58545.0,0.0
27/08/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,3300.0,0.0,0,3300.0,0.0
27/08/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,4211.0,0.0,0,4211.0,0.0
27/08/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,58545.0,-0.0,0,58545.0,0.0
03/09/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,3300.0,0.0,0,3300.0,0.0
03/09/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,4211.0,0.0,0,4211.0,0.0
03/09/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,58545.0,0.0,0,58545.0,0.0
10/09/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,3300.0,0.0,0,3300.0,0.0
10/09/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,4211.0,0.0,0,4211.0,0.0
10/09/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,58545.0,-0.0,0,58545.0,0.0
17/09/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,3300.0,0.0,0,3300.0,0.0
17/09/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,4211.0,0.0,0,4211.0,0.0
17/09/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,58545.0,0.0,0,58545.0,0.0
24/09/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,3300.0,0.0,0,3300.0,0.0
24/09/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,4211.0,0.0,0,4211.0,0.0
24/09/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,58545.0,-0.0,0,58545.0,0.0
01/10/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,3300.0,0.0,0,3300.0,0.0
01/10/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,4211.0,0.0,0,4211.0,0.0
01/10/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,58545.0,0.0,0,58545.0,0.0
08/10/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,3300.0,42000.0,44320,980.0,0.0
08/10/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,4211.0,0.0,0,4211.0,0.0
08/10/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,58545.0,-0.0,31129,27416.0,0.0
15/10/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,980.0,0.0,0,980.0,0.0
15/10/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,4211.0,0.0,0,4211.0,0.0
15/10/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,27416.0,0.0,0,27416.0,0.0
22/10/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,980.0,0.0,0,980.0,0.0
22/10/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,4211.0,0.0,0,4211.0,0.0
22/10/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,27416.0,-0.0,0,27416.0,0.0
29/10/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,980.0,0.0,0,980.0,0.0
29/10/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,4211.0,0.0,0,4211.0,0.0
